Date,buyT,buyP,sellT,sellP,PandL
2020-04-28,10:30:00,137.9,10:45:00,140.20714285714286,2.30714285714285
2020-04-28,13:15:00,141.2,15:15:00,138.9,-2.299999999999983
2020-05-05,12:45:00,134.65,15:15:00,133.15,-1.5
2020-05-06,13:45:00,134.65,14:00:00,131.8107142857143,-2.839285714285694
2020-05-07,13:45:00,134.5,15:15:00,135.25,0.75
2020-05-08,13:00:00,138.15,15:15:00,136.9,-1.25
2020-05-07,15:00:00,135.05,15:15:00,135.25,0.19999999999998863
2020-05-08,11:15:00,137.95,15:15:00,136.9,-1.049999999999983
2020-05-11,12:00:00,141.4,15:15:00,139.3,-2.0999999999999943
2020-05-13,09:30:00,142.15,15:15:00,141.1,-1.0500000000000114
2020-05-13,11:00:00,142.65,15:15:00,141.1,-1.5500000000000114
2020-05-15,13:45:00,141.95,15:15:00,141.1,-0.8499999999999943
2020-05-18,09:15:00,146.2,09:45:00,142.82500000000002,-3.3749999999999716
2020-05-15,12:30:00,143.0,15:00:00,140.525,-2.4749999999999943
2020-05-19,14:15:00,144.2,14:45:00,140.18214285714285,-4.017857142857139
2020-05-20,11:00:00,141.7,15:15:00,142.0,0.30000000000001137
2020-05-20,13:45:00,141.1,15:15:00,142.0,0.9000000000000057
2020-05-20,09:45:00,142.0,15:15:00,142.0,0.0
2020-05-20,15:15:00,142.0,15:15:00,142.0,0.0
2020-05-27,14:45:00,140.85,15:15:00,140.0,-0.8499999999999943
2020-05-29,09:30:00,145.55,10:45:00,147.8357142857143,2.2857142857142776
2020-05-28,14:30:00,143.45,15:15:00,142.7,-0.75
2020-05-28,12:30:00,142.0,15:15:00,142.7,0.6999999999999886
2020-05-29,13:45:00,152.65,15:00:00,148.27857142857144,-4.371428571428567
2020-05-29,12:30:00,148.85,13:15:00,152.17142857142858,3.3214285714285836
2020-05-28,09:15:00,143.75,15:15:00,142.7,-1.0500000000000114
2020-06-03,09:30:00,155.1,10:15:00,157.88571428571427,2.7857142857142776
2020-06-05,11:00:00,153.55,15:15:00,153.5,-0.05000000000001137
2020-06-08,10:45:00,157.35,12:45:00,152.94642857142856,-4.403571428571439
2020-06-11,10:30:00,162.9,12:45:00,156.7607142857143,-6.139285714285705
2020-06-19,10:30:00,150.25,12:15:00,152.42142857142858,2.171428571428578
2020-06-19,13:45:00,153.9,15:15:00,153.0,-0.9000000000000057
2020-06-18,12:45:00,147.9,15:15:00,148.0,0.09999999999999432
2020-06-19,09:15:00,151.5,12:30:00,153.35714285714286,1.8571428571428612
2020-06-22,12:15:00,155.8,15:15:00,154.75,-1.0500000000000114
2020-06-22,10:45:00,155.05,15:15:00,154.75,-0.30000000000001137
2020-06-19,15:00:00,153.2,15:15:00,153.0,-0.19999999999998863
2020-06-23,14:00:00,158.35,15:15:00,157.1,-1.25
2020-06-23,11:45:00,158.5,15:15:00,157.1,-1.4000000000000057
2020-06-22,13:30:00,155.15,15:15:00,154.75,-0.4000000000000057
2020-06-23,10:30:00,160.7,11:00:00,156.74642857142857,-3.953571428571422
2020-06-25,13:30:00,162.75,15:15:00,162.5,-0.25
2020-06-26,09:15:00,165.3,15:15:00,162.35,-2.950000000000017
2020-06-25,14:30:00,162.7,15:15:00,162.5,-0.19999999999998863
2020-07-02,15:15:00,158.75,15:15:00,158.75,0.0
2020-07-03,10:15:00,162.25,15:15:00,159.5,-2.75
2020-07-07,12:00:00,168.4,15:15:00,167.75,-0.6500000000000057
2020-07-06,14:45:00,164.55,15:15:00,164.6,0.04999999999998295
2020-07-06,12:30:00,164.05,15:15:00,164.6,0.549999999999983
2020-07-17,12:30:00,151.4,15:15:00,152.3,0.9000000000000057
2020-07-17,09:30:00,152.4,15:15:00,152.3,-0.09999999999999432
2020-07-20,12:45:00,156.4,13:15:00,158.84285714285713,2.4428571428571217
2020-07-20,14:45:00,160.15,15:15:00,161.45,1.299999999999983
2020-07-21,13:30:00,161.65,13:45:00,163.27857142857144,1.6285714285714334
2020-07-22,11:15:00,168.75,15:15:00,168.85,0.09999999999999432
2020-07-21,15:00:00,167.45,15:15:00,167.5,0.05000000000001137
2020-07-22,12:15:00,170.95,13:15:00,165.68928571428572,-5.260714285714272
2020-07-23,15:00:00,170.3,15:15:00,170.2,-0.10000000000002274
2020-07-23,11:00:00,168.3,15:15:00,170.2,1.8999999999999773
2020-07-23,12:15:00,168.8,15:15:00,170.2,1.3999999999999773
2020-07-29,12:00:00,187.95,14:30:00,180.54642857142855,-7.403571428571439
2020-07-29,09:45:00,178.8,10:45:00,183.31428571428575,4.514285714285734
2020-07-28,14:15:00,172.9,15:15:00,172.8,-0.09999999999999432
2020-08-03,09:30:00,177.45,15:00:00,172.61785714285713,-4.8321428571428555
2020-08-03,10:45:00,176.4,15:15:00,172.55,-3.8499999999999943
2020-07-31,14:00:00,176.4,15:15:00,175.45,-0.950000000000017
2020-08-03,12:00:00,176.15,15:15:00,172.55,-3.5999999999999943
2020-08-05,12:15:00,182.75,15:15:00,179.45,-3.3000000000000114
2020-08-07,10:30:00,185.15,14:00:00,190.35,5.199999999999989
2020-08-07,11:30:00,186.2,14:00:00,189.9142857142857,3.7142857142857224
2020-08-07,13:00:00,185.45,14:00:00,188.29285714285712,2.8428571428571274
2020-08-10,11:45:00,194.55,12:45:00,197.32857142857145,2.778571428571439
2020-08-10,09:45:00,195.45,15:15:00,195.4,-0.04999999999998295
2020-08-11,14:15:00,197.8,15:15:00,196.35,-1.450000000000017
2020-08-13,11:15:00,202.3,13:30:00,198.05714285714285,-4.2428571428571615
2020-08-18,11:00:00,211.35,14:30:00,215.54285714285714,4.19285714285715
2020-08-20,10:15:00,240.8,15:15:00,236.15,-4.650000000000006
2020-08-20,12:15:00,241.35,15:15:00,236.15,-5.199999999999989
2020-08-19,14:15:00,231.7,15:00:00,234.78571428571428,3.085714285714289
2020-08-18,13:30:00,213.35,15:15:00,214.0,0.6500000000000057
2020-08-19,11:00:00,232.7,15:00:00,240.12142857142857,7.421428571428578
2020-08-19,09:15:00,220.8,09:30:00,224.94285714285715,4.142857142857139
2020-08-24,10:30:00,240.2,14:00:00,245.43571428571428,5.235714285714295
2020-08-20,12:00:00,241.45,15:15:00,236.15,-5.299999999999983
2020-08-25,09:15:00,252.15,11:15:00,259.76428571428573,7.614285714285728
2020-08-25,11:15:00,261.4,12:45:00,269.4214285714286,8.0214285714286
2020-08-28,10:45:00,289.95,15:15:00,287.35,-2.599999999999966
2020-08-27,11:45:00,293.3,15:15:00,285.55,-7.75
2020-09-03,10:15:00,295.8,15:15:00,290.7,-5.100000000000023
2020-09-02,12:45:00,284.45,13:00:00,288.1714285714286,3.7214285714285893
2020-09-03,12:30:00,294.5,15:15:00,290.7,-3.8000000000000114
2020-09-08,10:30:00,288.0,13:45:00,282.05357142857144,-5.946428571428555
2020-09-10,14:15:00,300.8,15:15:00,297.2,-3.6000000000000227
2020-09-14,10:45:00,300.8,14:15:00,293.3214285714286,-7.478571428571399
2020-09-11,10:45:00,299.15,15:15:00,295.05,-4.099999999999966
2020-09-11,09:15:00,301.65,15:15:00,295.05,-6.599999999999966
2020-09-16,14:00:00,296.6,14:30:00,299.06428571428575,2.4642857142857224
2020-09-17,09:15:00,299.0,12:15:00,293.3,-5.699999999999989
