Date,PandL,ProfitableTradeCount,LossTradeCount,AccuracyPercentage
2020-07-20,0.0,0,1,0.0
2020-07-21,2.0642857142857167,1,0,100.0
2020-07-22,-0.3499999999999943,1,1,50.0
2020-07-24,-2.378571428571462,0,2,0.0
2020-07-28,5.249999999999972,6,0,100.0
2020-07-29,-12.707142857142856,1,5,16.666666666666664
2020-07-30,2.5142857142857054,1,0,100.0
2020-08-03,-2.1321428571428385,0,1,0.0
2020-08-04,-3.7785714285714107,0,2,0.0
2020-08-05,-4.628571428571405,0,3,0.0
2020-08-06,-1.2321428571428612,0,1,0.0
2020-08-07,4.41428571428571,2,1,66.66666666666666
2020-08-10,-4.350000000000023,1,3,25.0
2020-08-14,-7.607142857142861,0,3,0.0
2020-08-18,-6.514285714285705,1,2,33.33333333333333
2020-08-19,2.496428571428595,4,2,66.66666666666666
2020-08-20,11.228571428571371,3,0,100.0
2020-08-21,-9.524999999999977,0,2,0.0
2020-08-24,-0.2714285714285438,3,1,75.0
2020-08-25,-2.6535714285714103,1,1,50.0
2020-08-26,-2.4107142857142776,0,1,0.0
2020-08-28,2.1214285714286234,2,1,66.66666666666666
2020-09-01,-19.692857142857118,0,3,0.0
2020-09-02,1.0285714285714105,1,2,33.33333333333333
2020-09-03,0.5,1,1,50.0
2020-09-09,-1.5107142857143003,1,3,25.0
2020-09-10,-0.1499999999999772,0,1,0.0
2020-09-11,-4.221428571428476,2,3,40.0
2020-09-14,-5.925000000000011,0,1,0.0
2020-09-15,-3.835714285714346,0,1,0.0
2020-09-18,-5.657142857142844,0,2,0.0
2020-09-22,-21.278571428571382,0,5,0.0
2020-09-24,3.242857142857133,2,0,100.0
2020-09-25,9.764285714285677,3,0,100.0
2020-09-28,-4.0107142857143,1,4,20.0
2020-09-29,-3.114285714285728,1,1,50.0
2020-09-30,-2.0250000000000057,0,1,0.0
2020-10-01,2.9785714285713993,4,0,100.0
2020-10-05,10.164285714285711,5,0,100.0
2020-10-06,0.9071428571428442,3,2,60.0
2020-10-07,1.2321428571428328,2,2,50.0
2020-10-08,3.271428571428544,5,1,83.33333333333334
2020-10-09,19.042857142857088,10,0,100.0
2020-10-12,-2.532142857142844,2,4,33.33333333333333
2020-10-13,2.3071428571428214,2,1,66.66666666666666
2020-10-14,2.421428571428578,3,0,100.0
2020-10-15,-4.607142857142833,0,1,0.0
2020-10-16,2.9357142857143117,3,0,100.0
2020-10-19,0.7071428571428555,1,0,100.0
2020-10-20,0.5499999999999545,2,0,100.0
2020-10-21,2.5,2,0,100.0
2020-10-22,10.54285714285703,8,1,88.88888888888889
2020-10-23,-4.842857142857156,0,2,0.0
2020-10-27,0.8428571428571558,2,1,66.66666666666666
2020-10-29,2.00714285714281,2,0,100.0
2020-10-30,-3.428571428571445,3,2,60.0
2020-11-02,-10.328571428571422,0,2,0.0
2020-11-03,-5.689285714285688,0,2,0.0
2020-11-04,1.582142857142855,3,1,75.0
2020-11-05,5.042857142857031,5,2,71.42857142857143
2020-11-06,-1.6499999999999773,0,1,0.0
2020-11-09,-8.51785714285711,0,2,0.0
2020-11-10,16.771428571428658,6,0,100.0
2020-11-11,-4.946428571428555,1,2,33.33333333333333
2020-11-12,8.535714285714334,3,2,60.0
2020-11-13,3.7142857142857792,3,0,100.0
2020-11-14,-0.6999999999999886,1,1,50.0
2020-11-17,29.56428571428569,5,1,83.33333333333334
2020-11-18,-8.496428571428567,1,2,33.33333333333333
2020-11-20,-22.1357142857143,0,3,0.0
2020-11-23,-1.5,0,1,0.0
2020-11-24,-11.785714285714334,0,4,0.0
2020-11-25,-0.3999999999999772,0,1,0.0
2020-11-26,-0.07857142857142208,1,1,50.0
2020-11-27,-5.632142857142867,2,2,50.0
2020-12-01,2.178571428571388,1,0,100.0
2020-12-02,40.12142857142851,5,0,100.0
2020-12-03,-13.817857142857179,0,3,0.0
2020-12-04,-3.2142857142857792,2,1,66.66666666666666
2020-12-07,-4.117857142857133,1,1,50.0
2020-12-08,-7.314285714285745,0,4,0.0
2020-12-09,-3.5285714285714675,1,1,50.0
2020-12-14,-13.539285714285711,1,3,25.0
2020-12-15,7.742857142857133,4,2,66.66666666666666
2020-12-16,-0.9499999999999886,0,1,0.0
2020-12-17,-17.885714285714187,1,3,25.0
2020-12-18,-3.2464285714285666,0,1,0.0
2020-12-22,0.5000000000000567,3,1,75.0
2020-12-23,28.49285714285702,7,0,100.0
2020-12-24,-13.41071428571422,0,3,0.0
2020-12-28,3.0571428571428783,1,0,100.0
2020-12-29,3.0785714285713652,2,0,100.0
2020-12-30,3.725000000000023,2,1,66.66666666666666
2020-12-31,12.078571428571479,6,0,100.0
2021-01-04,-5.953571428571422,0,2,0.0
2021-01-05,-8.132142857142867,0,2,0.0
2021-01-06,-0.7357142857143233,1,1,50.0
2021-01-07,-10.314285714285688,0,2,0.0
2021-01-08,-1.8500000000001364,0,4,0.0
2021-01-11,-4.98214285714289,0,1,0.0
2021-01-12,-22.83214285714297,1,5,16.666666666666664
2021-01-13,-3.5571428571428214,0,1,0.0
2021-01-18,-5.303571428571445,0,1,0.0
2021-01-19,-5.0,0,1,0.0
2021-01-20,32.94999999999993,7,0,100.0
2021-01-21,-7.521428571428601,0,1,0.0
2021-01-22,-46.11428571428553,0,4,0.0
2021-01-25,-24.0,0,2,0.0
2021-01-27,-8.303571428571445,0,1,0.0
2021-01-28,-5.50714285714281,0,1,0.0
2021-01-29,-32.55000000000007,0,4,0.0
2021-02-01,25.407142857142787,5,0,100.0
2021-02-02,-1.6357142857143003,1,2,33.33333333333333
2021-02-03,-8.117857142857133,1,4,20.0
2021-02-04,-3.8250000000000455,0,1,0.0
2021-02-05,18.25,4,1,80.0
2021-02-08,30.896428571428487,6,1,85.71428571428571
2021-02-09,-63.453571428571536,0,7,0.0
2021-02-10,-0.75,0,1,0.0
2021-02-11,33.95000000000016,7,0,100.0
2021-02-12,29.821428571428783,7,2,77.77777777777779
2021-02-15,14.749999999999886,4,2,66.66666666666666
2021-02-16,54.53571428571445,5,0,100.0
2021-02-17,-89.2714285714286,0,4,0.0
2021-02-18,30.900000000000205,4,0,100.0
2021-02-22,-43.69999999999993,0,3,0.0
2021-02-24,7.814285714285688,1,0,100.0
2021-02-25,-20.753571428571377,0,2,0.0
2021-02-26,11.85714285714289,2,1,66.66666666666666
2021-03-01,-12.439285714285802,0,2,0.0
2021-03-02,3.460714285714289,4,3,57.14285714285714
2021-03-03,-3.6857142857141962,2,2,50.0
2021-03-04,-3.3999999999999773,0,1,0.0
2021-03-12,-6.903571428571468,2,2,50.0
2021-03-15,22.385714285714357,3,1,75.0
2021-03-16,-5.9035714285714675,1,1,50.0
2021-03-17,-14.73214285714289,0,1,0.0
2021-03-18,-6.778571428571466,2,2,50.0
2021-03-19,9.992857142857133,2,1,66.66666666666666
2021-03-22,-19.78571428571433,1,4,20.0
2021-03-23,-29.178571428571445,1,2,33.33333333333333
2021-03-24,-39.060714285714084,1,4,20.0
2021-03-25,-15.696428571428442,0,3,0.0
2021-03-26,10.432142857142935,3,3,50.0
2021-03-30,-38.346428571428646,0,2,0.0
2021-04-01,53.30714285714282,5,2,71.42857142857143
2021-04-05,34.017857142857,3,2,60.0
2021-04-06,-19.5428571428572,0,1,0.0
2021-04-09,-18.83571428571429,0,1,0.0
2021-04-13,-8.75,0,2,0.0
2021-04-15,1.3500000000000227,1,2,33.33333333333333
2021-04-19,-12.271428571428485,2,2,50.0
2021-04-20,-31.935714285714084,0,2,0.0
2021-04-22,42.500000000000114,5,0,100.0
2021-04-23,-30.296428571428578,0,4,0.0
