Year,PandL,ProfitableTradeCount,LossTradeCount,AccuracyPercentage
2020,-293.49285714285713,311,306,50.405186385737444
2021,-1223.3821428571434,276,320,46.308724832214764
2022,-1029.4821428571424,389,305,56.05187319884726
2023,-90.07857142857223,247,214,53.579175704989154
2024,-257.3821428571446,147,156,48.51485148514851
