Date,buyT,buyP,sellT,sellP,PandL
2020-05-07,14:45:00,283.4,15:15:00,282.0,-1.3999999999999773
2020-05-07,11:30:00,283.0,15:15:00,282.0,-1.0
2020-05-08,10:15:00,284.0,15:15:00,284.05,0.05000000000001137
2020-05-11,11:00:00,290.1,15:15:00,290.95,0.8499999999999659
2020-05-08,11:30:00,285.5,15:15:00,284.05,-1.4499999999999886
2020-05-08,14:15:00,284.65,15:15:00,284.05,-0.5999999999999659
2020-05-11,12:00:00,290.2,15:15:00,290.95,0.75
2020-05-07,13:45:00,283.15,15:15:00,282.0,-1.1499999999999773
2020-05-07,09:15:00,275.65,10:15:00,280.5714285714285,4.921428571428521
2020-05-11,09:15:00,285.95,09:30:00,288.6857142857143,2.735714285714323
2020-05-11,14:30:00,290.0,15:15:00,290.95,0.9499999999999886
2020-05-08,13:00:00,284.9,15:15:00,284.05,-0.8499999999999659
2020-05-13,10:00:00,293.4,11:15:00,299.13571428571424,5.735714285714266
2020-05-13,14:15:00,305.8,15:00:00,310.4714285714286,4.671428571428578
2020-05-13,13:00:00,302.3,14:45:00,307.36428571428576,5.064285714285745
2020-05-14,10:15:00,307.35,15:15:00,306.7,-0.6500000000000341
2020-05-14,11:45:00,308.6,15:15:00,306.7,-1.900000000000034
2020-05-19,12:00:00,308.65,14:15:00,313.9571428571428,5.307142857142821
2020-05-20,14:30:00,321.7,15:15:00,323.1,1.400000000000034
2020-05-20,12:30:00,318.5,15:15:00,323.1,4.600000000000023
2020-05-19,14:15:00,317.8,15:15:00,319.7,1.8999999999999773
2020-05-26,12:00:00,316.75,14:00:00,309.97857142857146,-6.771428571428544
2020-05-27,15:00:00,327.05,15:15:00,326.9,-0.1500000000000341
2020-05-28,12:45:00,330.25,13:30:00,333.52142857142854,3.271428571428544
2020-05-27,09:15:00,317.5,11:45:00,322.59285714285716,5.092857142857156
2020-05-27,14:30:00,325.4,15:15:00,326.9,1.5
2020-05-28,14:30:00,331.0,15:15:00,331.5,0.5
2020-06-02,09:30:00,335.75,15:00:00,340.6642857142857,4.914285714285711
2020-06-01,11:15:00,333.8,15:15:00,329.55,-4.25
2020-06-01,13:00:00,334.8,14:00:00,330.26785714285717,-4.532142857142844
2020-06-02,12:45:00,340.05,15:15:00,340.0,-0.05000000000001137
2020-06-02,14:45:00,339.6,15:15:00,340.0,0.39999999999997726
2020-06-03,11:00:00,340.8,15:15:00,341.85,1.0500000000000114
2020-06-02,10:30:00,335.95,15:15:00,340.0,4.050000000000011
2020-06-03,13:00:00,340.8,14:00:00,343.95,3.1499999999999773
2020-06-03,15:15:00,341.85,15:15:00,341.85,0.0
2020-06-03,13:45:00,341.2,14:00:00,343.77142857142854,2.571428571428555
2020-06-03,14:00:00,343.75,15:00:00,339.6357142857143,-4.1142857142857
2020-06-05,10:45:00,342.85,11:30:00,346.67857142857144,3.828571428571422
2020-06-08,12:00:00,345.1,15:15:00,342.25,-2.8500000000000227
2020-06-15,10:45:00,343.7,15:15:00,340.0,-3.6999999999999886
2020-06-15,13:45:00,343.4,15:15:00,340.0,-3.3999999999999773
2020-06-12,15:00:00,344.6,15:15:00,346.85,2.25
2020-06-17,13:15:00,344.35,15:15:00,341.95,-2.400000000000034
2020-06-17,14:15:00,346.05,15:15:00,340.6714285714286,-5.378571428571433
2020-06-18,15:15:00,344.4,15:15:00,344.4,0.0
2020-06-19,10:15:00,352.1,15:15:00,350.0,-2.1000000000000227
2020-06-19,13:15:00,351.7,15:15:00,350.0,-1.6999999999999886
2020-06-19,14:45:00,352.9,15:00:00,348.47499999999997,-4.425000000000011
2020-06-23,12:45:00,353.45,14:45:00,356.5357142857143,3.085714285714289
2020-06-23,15:00:00,355.9,15:15:00,355.3,-0.5999999999999659
2020-06-24,11:15:00,355.85,12:15:00,359.8071428571429,3.9571428571428555
2020-06-30,10:30:00,348.55,15:00:00,343.02142857142854,-5.5285714285714675
2020-07-02,11:45:00,346.6,15:15:00,347.05,0.44999999999998863
2020-07-02,13:00:00,346.9,15:15:00,347.05,0.1500000000000341
2020-07-03,12:00:00,364.75,15:15:00,361.0,-3.75
2020-07-03,09:15:00,351.75,09:30:00,354.51428571428573,2.7642857142857338
2020-07-09,15:15:00,344.55,15:15:00,344.55,0.0
2020-07-13,12:30:00,336.1,15:15:00,332.7,-3.400000000000034
2020-07-20,15:15:00,317.95,15:15:00,317.95,0.0
2020-07-21,12:45:00,319.35,13:45:00,314.8607142857143,-4.4892857142857
2020-07-23,13:30:00,314.35,15:15:00,314.0,-0.35000000000002274
2020-07-28,11:00:00,317.65,15:15:00,318.5,0.8500000000000227
2020-07-28,09:30:00,313.85,09:45:00,317.39285714285717,3.5428571428571445
2020-08-05,09:30:00,318.8,11:15:00,323.20714285714286,4.407142857142844
2020-08-05,14:15:00,325.4,15:15:00,327.15,1.75
2020-08-10,09:30:00,329.5,10:45:00,332.9714285714286,3.4714285714285893
2020-08-11,09:15:00,333.1,12:30:00,335.3285714285714,2.2285714285713993
2020-08-05,12:30:00,324.5,15:15:00,327.15,2.6499999999999773
2020-08-10,11:00:00,332.35,15:15:00,331.25,-1.1000000000000227
2020-08-11,11:30:00,333.15,14:15:00,336.3928571428571,3.242857142857133
2020-08-11,14:00:00,334.55,15:15:00,334.95,0.39999999999997726
2020-08-13,09:15:00,345.0,15:15:00,348.0571428571429,3.0571428571428783
2020-08-13,10:45:00,346.35,15:15:00,348.3,1.9499999999999886
2020-08-12,09:15:00,341.55,09:45:00,345.9428571428572,4.392857142857167
2020-08-13,14:45:00,346.8,15:15:00,348.5357142857143,1.7357142857142662
2020-08-12,14:00:00,341.7,15:15:00,341.3,-0.39999999999997726
2020-08-14,11:15:00,350.3,13:45:00,345.66071428571433,-4.639285714285677
2020-08-17,12:15:00,356.45,15:15:00,357.25,0.8000000000000114
2020-08-18,13:00:00,356.85,15:15:00,358.25,1.3999999999999773
2020-08-17,14:45:00,356.65,15:15:00,357.25,0.6000000000000227
2020-08-18,11:15:00,357.4,15:15:00,358.25,0.8500000000000227
2020-08-19,09:30:00,362.2,14:15:00,357.00357142857143,-5.196428571428555
2020-08-26,09:30:00,360.7,10:00:00,366.4571428571428,5.75714285714281
2020-08-24,09:30:00,361.55,10:15:00,356.7714285714286,-4.778571428571411
2020-08-31,09:30:00,376.0,11:30:00,366.0785714285714,-9.921428571428578
2020-09-03,09:15:00,363.85,15:15:00,366.2,2.349999999999966
2020-09-03,12:00:00,364.9,15:15:00,366.2,1.3000000000000114
2020-09-02,13:00:00,354.0,13:30:00,359.37857142857143,5.378571428571433
2020-09-03,10:30:00,366.3,15:15:00,366.2,-0.10000000000002274
2020-09-03,15:00:00,367.3,15:15:00,366.2,-1.1000000000000227
2020-09-08,13:00:00,353.4,14:45:00,348.825,-4.574999999999989
2020-09-14,11:45:00,352.15,15:15:00,351.5,-0.6499999999999773
2020-09-14,09:15:00,346.0,10:45:00,350.0357142857143,4.035714285714278
2020-09-11,14:45:00,341.95,15:15:00,340.55,-1.3999999999999773
2020-09-16,14:30:00,354.2,15:15:00,352.9,-1.3000000000000114
2020-09-15,13:30:00,353.55,15:15:00,351.7,-1.8500000000000227
2020-09-16,13:45:00,353.55,15:15:00,352.9,-0.6500000000000341
2020-09-18,12:15:00,355.75,15:15:00,359.76428571428573,4.014285714285734
2020-09-18,10:45:00,355.7,15:15:00,359.64285714285717,3.9428571428571786
2020-09-18,15:00:00,358.8,15:15:00,359.1,0.30000000000001137
2020-09-21,12:30:00,356.2,13:30:00,350.0607142857143,-6.139285714285677
2020-09-21,10:15:00,355.7,14:00:00,347.78214285714284,-7.9178571428571445
2020-09-25,14:00:00,326.95,15:15:00,326.3,-0.6499999999999773
2020-09-25,13:15:00,326.05,15:15:00,326.3,0.25
2020-09-28,09:15:00,336.2,10:30:00,341.5928571428571,5.39285714285711
2020-09-28,14:00:00,340.1,15:15:00,340.8,0.6999999999999886
2020-09-28,10:30:00,341.75,15:15:00,340.8,-0.9499999999999886
2020-09-28,15:15:00,340.8,15:15:00,340.8,0.0
2020-09-29,11:15:00,340.85,15:15:00,340.0,-0.8500000000000227
2020-10-01,13:15:00,350.4,14:15:00,353.3285714285714,2.928571428571445
